Error No. (DEC),Error No. (HEX),Description
9005,0x0000232D,DNS operation refused.
9006,0x0000232E,"DNS name that ought not exist, does exist."
9007,0x0000232F,"DNS RR set that ought not exist, does exist."
9008,0x00002330,"DNS RR set that ought to exist, does not exist."
9009,0x00002331,DNS server not authoritative for zone.
9010,0x00002332,DNS name in update or prereq is not in zone.
9016,0x00002338,DNS signature failed to verify.
9017,0x00002339,DNS bad key.
9018,0x0000233A,DNS signature validity expired.
9500,0x0000251C,
9501,0x0000251D,No records found for given DNS query.
9502,0x0000251E,Bad DNS packet.
9503,0x0000251F,No DNS packet.
9504,0x00002520,"DNS error, check rcode."
9505,0x00002521,Unsecured DNS packet.
9550,0x0000254E,
9551,0x0000254F,Invalid DNS type.
9552,0x00002550,Invalid IP address.
9553,0x00002551,Invalid property.
9554,0x00002552,Try DNS operation again later.
9555,0x00002553,Record for given name and type is not unique.
9556,0x00002554,DNS name does not comply with RFC specifications.
9557,0x00002555,DNS name is a fully-qualified DNS name.
9558,0x00002556,DNS name is dotted (multi-label).
9559,0x00002557,DNS name is a single-part name.
9560,0x00002558,DNS name contains an invalid character.
9561,0x00002559,DNS name is entirely numeric.
9562,0x0000255A,The operation requested is not permitted on a DNS root server.
9563,0x0000255B,
9564,0x0000255C,
9565,0x0000255D,
9600,0x00002580,
9601,0x00002581,DNS zone does not exist.
9602,0x00002582,DNS zone information not available.
9603,0x00002583,Invalid operation for DNS zone.
9604,0x00002584,Invalid DNS zone configuration.
9605,0x00002585,DNS zone has no start of authority (SOA) record.
9606,0x00002586,DNS zone has no Name Server (NS) record.
9607,0x00002587,DNS zone is locked.
9608,0x00002588,DNS zone creation failed.
9609,0x00002589,DNS zone already exists.
9610,0x0000258A,DNS automatic zone already exists.
9611,0x0000258B,Invalid DNS zone type.
9612,0x0000258C,Secondary DNS zone requires master IP address.
9613,0x0000258D,DNS zone not secondary.
9614,0x0000258E,Need secondary IP address.
9615,0x0000258F,WINS initialization failed.
9616,0x00002590,Need WINS servers.
9617,0x00002591,NBTSTAT initialization call failed.
9618,0x00002592,Invalid delete of start of authority (SOA)
9619,0x00002593,A conditional forwarding zone already exists for that name.
9620,0x00002594,This zone must be configured with one or more master DNS server IP addresses.
9621,0x00002595,The operation cannot be performed because this zone is shutdown.
9650,0x000025B2,
9651,0x000025B3,Primary DNS zone requires datafile.
9652,0x000025B4,Invalid datafile name for DNS zone.
9653,0x000025B5,Failed to open datafile for DNS zone.
9654,0x000025B6,Failed to write datafile for DNS zone.
9655,0x000025B7,Failure while reading datafile for DNS zone.
9700,0x000025E4,
9701,0x000025E5,DNS record does not exist.
9702,0x000025E6,DNS record format error.
9703,0x000025E7,Node creation failure in DNS.
9704,0x000025E8,Unknown DNS record type.
9705,0x000025E9,DNS record timed out.
9706,0x000025EA,Name not in DNS zone.
9707,0x000025EB,CNAME loop detected.
9708,0x000025EC,Node is a CNAME DNS record.
9709,0x000025ED,A CNAME record already exists for given name.
9710,0x000025EE,Record only at DNS zone root.
9711,0x000025EF,DNS record already exists.
9712,0x000025F0,Secondary DNS zone data error.
9713,0x000025F1,Could not create DNS cache data.
9714,0x000025F2,DNS name does not exist.
9715,0x000025F3,Could not create pointer (PTR) record.
9716,0x000025F4,DNS domain was undeleted.
9717,0x000025F5,The directory service is unavailable.
9718,0x000025F6,DNS zone already exists in the directory service.
9719,0x000025F7,DNS server not creating or reading the boot file for the directory service integrated DNS zone.
9750,0x00002616,
9751,0x00002617,DNS AXFR (zone transfer) complete.
9752,0x00002618,DNS zone transfer failed.
9753,0x00002619,Added local WINS server.
9800,0x00002648,
9801,0x00002649,Secure update call needs to continue update request.
9850,0x0000267A,
9851,0x0000267B,TCP/IP network protocol not installed.
9852,0x0000267C,No DNS servers configured for local system.
